日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2020-01-02,10.73264975,11.09801655,10.66871056,10.91533315,38382225,457859539.0,0.6308,2.2241
2020-01-03,10.961004,11.21676076,10.92446732,11.18935825,25819820,314585888.0,0.4244,2.5105
2020-01-06,11.0523457,11.16195574,10.84225979,10.90619898,26961420,323050225.0,0.4431,-2.5306
2020-01-07,10.95186983,11.18022408,10.8696623,11.12541906,15373214,185657535.0,0.2527,2.0101
2020-01-08,11.11628489,11.21676076,10.94273566,11.1436874,13450096,163121585.0,0.2211,0.1642
2020-01-09,11.21676076,11.36290748,11.1436874,11.21676076,11977884,147529789.0,0.1969,0.6557
2020-01-10,11.20762659,11.28983412,11.11628489,11.16195574,8668616,106135872.0,0.1425,-0.4886
2020-01-13,11.26243161,11.37204165,11.1436874,11.19849242,11238679,138411789.0,0.1847,0.3273
2020-01-14,11.28069995,11.28069995,10.97013817,11.02494319,16153866,196243723.0,0.2655,-1.5498
2020-01-15,10.99754068,11.06147987,10.8696623,11.03407736,14433132,172941859.0,0.2372,0.0829
2020-01-16,11.16195574,11.2350291,10.6869789,10.74178392,18627668,221474702.0,0.3062,-2.649
2020-01-17,10.78745477,10.82399145,10.54996635,10.58650303,16327952,189961692.0,0.2684,-1.4456
2020-01-20,10.54996635,10.6869789,10.43122214,10.60477137,14137346,163761349.0,0.2324,0.1726
2020-01-21,10.57736886,10.5956372,10.30334376,10.3216121,12512977,142348251.0,0.2057,-2.6701
2020-01-22,10.047587,10.33074627,10.00191615,10.29420959,15556896,172897629.0,0.2557,-0.2655
2020-01-23,10.21200206,10.28507542,9.84663526,9.91970862,14994347,164642103.0,0.2464,-3.638
2020-02-03,9.00629162,9.32598757,8.92408409,9.0428283,48039539,475009513.0,0.7896,-8.8398
2020-02-04,9.0428283,9.25291421,8.7688032,9.0428283,28181574,277091541.0,0.4632,0.0
2020-02-05,9.08849915,9.25291421,8.8601449,9.16157251,29213753,291827251.0,0.4801,1.3131
2020-02-06,9.19810919,9.26204838,9.06109664,9.2255117,13476700,135201344.0,0.2215,0.6979
2020-02-07,9.13417,9.27118255,9.0428283,9.11590166,18626778,185420706.0,0.3061,-1.1881
2020-02-10,9.21637753,9.43559761,9.13417,9.38079259,22589178,229074365.0,0.3713,2.9058
2020-02-11,9.36252425,9.4081951,9.27118255,9.3168534,11275929,115096710.0,0.1853,-0.6816
2020-02-12,9.33512174,9.43559761,9.27118255,9.42646344,10231704,105040646.0,0.1682,1.1765
2020-02-13,9.43559761,9.73702522,9.4081951,9.52693931,16210450,169848774.0,0.2664,1.0659
2020-02-14,9.49040263,9.57261016,9.36252425,9.42646344,8586901,88784271.0,0.1411,-1.0547
2020-02-17,9.47213429,10.18459955,9.47213429,10.08412368,27982655,303804694.0,0.4599,6.9767
2020-02-18,10.07498951,10.14806287,9.8649036,10.05672117,25650200,280464388.0,0.4216,-0.2717
2020-02-19,10.11152619,10.27594125,9.9562453,10.18459955,20692030,229772727.0,0.3401,1.2716
2020-02-20,10.1389287,10.40381963,10.09325785,10.3216121,14407442,162118164.0,0.2368,1.3453
2020-02-21,10.5042955,10.7783206,10.45862465,10.6869789,27108228,315577647.0,0.4455,3.5398
2020-02-24,10.65044222,10.86052813,10.54996635,10.63217388,19169539,224042774.0,0.3151,-0.5128
2020-02-25,10.3216121,10.82399145,10.2302704,10.74178392,22855280,264770669.0,0.3756,1.0309
2020-02-26,10.63217388,10.75091809,10.43122214,10.60477137,17204563,199438036.0,0.2828,-1.2755
2020-02-27,10.57736886,10.6869789,10.40381963,10.44035631,14492925,166892381.0,0.2382,-1.5504
2020-02-28,10.19373372,10.30334376,9.87403777,9.91057445,17676474,194345156.0,0.2905,-5.0744
2020-03-02,9.99278198,10.66871056,9.97451364,10.48602716,20859266,237448286.0,0.3428,5.8064
2020-03-03,10.72351558,10.961004,10.55910052,10.67784473,20909744,246091381.0,0.3437,1.8293
2020-03-04,10.7783206,10.95186983,10.5042955,10.85139396,25270476,298207591.0,0.4153,1.6253
2020-03-05,10.92446732,10.98840651,10.7783206,10.83312562,15007055,178729378.0,0.2467,-0.1684
2020-03-06,10.74178392,10.80572311,10.5042955,10.64130805,15605310,181896574.0,0.2565,-1.7707
2020-03-09,10.45862465,10.45862465,10.09325785,10.20286789,23029657,258494229.0,0.3785,-4.1202
2020-03-10,10.05672117,10.961004,10.05672117,10.8696623,34732958,405205372.0,0.5709,6.5354
2020-03-11,10.89706481,11.0523457,10.79658894,10.92446732,24805604,297476296.0,0.4077,0.5042
2020-03-12,10.81485728,11.1436874,10.65044222,11.01580902,31594550,380528751.0,0.5193,0.8361
2020-03-13,10.65044222,11.33550497,10.63217388,11.18022408,33874418,410212957.0,0.5567,1.4925
2020-03-16,11.12541906,11.64606675,10.961004,11.04321153,27975907,347483917.0,0.4598,-1.2255
2020-03-17,10.94273566,11.18022408,10.5956372,10.85139396,17039122,202151260.0,0.28,-1.737
2020-03-18,10.961004,11.01580902,10.49516133,10.5042955,13344315,156888399.0,0.2193,-3.1987
2020-03-19,10.45862465,10.64130805,9.54520765,9.92884279,23794715,258741417.0,0.3911,-5.4783
2020-03-20,10.00191615,10.17546538,9.62741518,9.8649036,24877162,267732753.0,0.4089,-0.644
2020-03-23,9.58174433,9.60914684,9.13417,9.17984085,21588582,219079811.0,0.3548,-6.9444
2020-03-24,9.38079259,9.81923275,9.0428283,9.70962271,29596524,302794760.0,0.4864,5.7711
2020-03-25,9.9562453,10.34901461,9.93797696,10.21200206,28089490,312271968.0,0.4617,5.174
2020-03-26,10.05672117,10.20286789,9.9562453,9.97451364,9919243,109221173.0,0.163,-2.3256
2020-03-27,10.21200206,10.22113623,9.81923275,9.81923275,8843340,96578575.0,0.1453,-1.5568
2020-03-30,9.79183024,9.98364781,9.5908785,9.82836692,12116401,129932551.0,0.1991,0.093
2020-03-31,9.99278198,9.99278198,9.60914684,9.63654935,12099217,128740656.0,0.1989,-1.9517
2020-04-01,9.60914684,9.6822202,9.3168534,9.36252425,20398827,211872942.0,0.3353,-2.8436
2020-04-02,9.36252425,9.36252425,9.14330417,9.32598757,19946498,201137116.0,0.3278,-0.3902
2020-04-03,9.37165842,9.42646344,9.19810919,9.27118255,9887358,100635057.0,0.1625,-0.5877
2020-04-07,9.4081951,9.48126846,9.28031672,9.39906093,16327819,167211712.0,0.2684,1.3793
2020-04-08,9.32598757,9.43559761,9.21637753,9.38992676,9457050,96785345.0,0.1554,-0.0972
2020-04-09,9.45386595,9.57261016,9.43559761,9.53607348,11729956,122136425.0,0.1928,1.5564
