日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2022-01-05,52.022943,52.50188438,47.68769775,47.79504668,255365409,15259495685.34,54.2886,0.521
2022-01-06,47.79504668,48.99240013,47.54731838,47.894138,116157682,6731421683.61,24.6942,0.2073
2022-01-07,47.7289858,47.94368366,47.55557599,47.58034882,63881165,3687982659.09,13.5806,-0.6552
2022-01-10,47.6464097,49.12452189,47.62989448,48.5547468,75326858,4402100218.16,16.0139,2.0479
2022-01-11,48.3895946,48.81899032,47.83633473,47.96845649,34700578,2030028650.86,7.3771,-1.2075
2022-01-12,48.13360869,48.13360869,47.7289858,47.98497171,25617132,1484862940.1,5.446,0.0344
2022-01-13,47.90239561,47.90239561,47.71247058,47.73724341,24645018,1426048442.23,5.2393,-0.5163
2022-01-14,47.65466731,47.7289858,47.57209121,47.60512165,24019049,1385033374.86,5.1063,-0.2768
2022-01-17,47.60512165,47.66292492,47.55557599,47.5638336,26815585,1544964783.45,5.7008,-0.0867
2022-01-18,47.5638336,47.67118253,47.55557599,47.58034882,20774021,1196931882.59,4.4164,0.0347
2022-01-19,47.5638336,47.58034882,47.54731838,47.54731838,37308915,2148398655.67,7.9316,-0.0694
2022-01-20,47.55557599,47.65466731,47.54731838,47.58860643,23180332,1335238843.19,4.9279,0.0868
2022-01-21,47.57209121,47.58034882,47.54731838,47.54731838,19184425,1104712930.04,4.0785,-0.0868
2022-01-24,47.62989448,48.49694353,47.59686404,48.05103259,29709778,1724572860.57,6.3161,1.0594
2022-01-25,47.8115619,47.91891083,47.55557599,47.55557599,18436817,1063494095.33,3.9195,-1.0311
2022-01-26,47.55557599,47.894138,47.54731838,47.58860643,18821205,1086086078.7,4.0012,0.0695
2022-01-27,47.5638336,47.61337926,47.54731838,47.54731838,33978377,1956625176.24,7.2235,-0.0868
2022-01-28,47.55557599,47.57209121,47.54731838,47.54731838,29008049,1670419330.18,6.1669,0.0
2022-02-07,47.6464097,48.23270001,47.6464097,48.01800215,24754931,1437546474.42,5.2627,0.9899
2022-02-08,48.07580542,51.6100625,48.07580542,50.6191493,39345289,2383895932.78,8.3645,5.417
2022-02-09,50.2062688,55.68106423,50.1236927,55.68106423,51244290,3334124378.81,10.8941,10.0
2022-02-10,56.151748,56.4820524,53.22855406,54.500226,42181436,2792374406.89,10.5296,-2.1207
2022-02-11,54.09560311,55.71409467,53.5918889,55.00394021,27567357,1823478191.44,6.8816,0.9242
2022-02-14,54.89659128,55.82970121,52.6835518,52.85696161,22758754,1488716256.36,5.6812,-3.9033
2022-02-15,52.79090073,53.38544865,51.6100625,51.9403669,15999425,1014408908.02,3.9939,-1.7341
2022-02-16,52.25415608,53.13772035,51.82476036,52.4358235,15860582,1006268766.08,3.9592,0.9539
2022-02-17,52.5183996,53.31938777,50.73475584,51.09809068,18282727,1145192284.39,4.5639,-2.5512
2022-02-18,50.75952867,52.06423105,50.6191493,51.8577908,12345353,769923002.91,3.0817,1.4867
2022-02-21,52.00642778,52.9312801,51.75869948,52.46059633,14266367,904737562.32,3.5613,1.1624
