日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2020-01-02,34.09773739,35.01397246,34.09773739,34.52137296,48843804,1713274183.9,2.6392,1.6241
2020-01-03,34.44255704,34.76767271,33.92040157,34.14699734,44019437,1531343100.72,2.3785,-1.0845
2020-01-06,33.7923257,37.07303837,33.70365779,36.17650728,124336428,4546572811.37,6.7183,5.9435
2020-01-07,36.16665529,36.27502718,35.67405579,36.20606325,49733045,1816298067.16,2.6872,0.0817
2020-01-08,35.91050355,36.11739534,35.49671997,35.51642395,47125351,1709205340.75,2.5463,-1.9048
2020-01-09,36.03857942,36.29473116,35.70361176,35.99917146,46484015,1698261946.12,2.5117,1.3592
2020-01-10,35.91050355,36.56073489,35.47701599,35.72331574,39585945,1446077463.72,2.139,-0.7663
2020-01-13,35.81198365,36.72821872,35.6642038,36.44251101,50102186,1846205642.12,2.7072,2.0132
2020-01-14,36.5508829,36.62969882,35.81198365,35.8612436,37473692,1371788078.73,2.0248,-1.595
2020-01-15,35.77257569,36.1568033,35.2701242,35.74301972,34319862,1240427491.12,1.8544,-0.3297
2020-01-16,35.74301972,36.21591524,35.61494385,35.78242768,32834088,1196855409.82,1.7741,0.1103
2020-01-17,35.96961549,36.01887544,35.32923614,35.42775604,31248738,1130456932.57,1.6885,-0.9912
2020-01-20,35.467164,36.18635927,35.09278838,36.07798738,41308943,1502080992.89,2.2321,1.8354
2020-01-21,36.02872743,36.40310305,35.44746002,35.49671997,34975462,1270504619.24,1.8898,-1.6111
2020-01-22,35.32923614,36.43265902,35.22086425,36.31443514,50916222,1862660437.94,2.7512,2.3036
2020-01-23,35.82183564,36.0582834,33.8908456,34.66915281,64969974,2312794863.04,3.5105,-4.5307
2020-02-03,31.20125233,33.15194635,31.20125233,31.47710805,96516579,3127358382.15,5.2151,-9.2072
2020-02-04,32.06822745,34.62974485,32.0189675,34.62974485,106696515,3674946269.34,5.7652,10.0157
2020-02-05,35.45731201,38.09764533,34.6790048,37.62474981,159254243,5987569732.01,8.605,8.6486
2020-02-06,37.75282568,38.78728463,37.2405222,38.7183207,130991689,5081874374.12,7.0779,2.9065
2020-02-07,38.30453712,39.2109202,37.5360819,38.28483314,107461310,4183592782.24,5.8065,-1.1196
2020-02-10,38.53113289,39.1124003,37.5360819,38.44246498,84304345,3281871852.88,4.5552,0.4117
2020-02-11,38.8168406,39.09269632,37.13215031,37.27007817,83444074,3193150986.26,4.5088,-3.0497
2020-02-12,37.31933812,38.76758065,37.0434824,38.7183207,104569399,4054918335.27,5.6502,3.8858
2020-02-13,38.5212809,38.9153605,37.6346018,37.85134558,74657952,2885889011.35,4.034,-2.2392
