日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2020-01-02,5.94154997,6.02418627,5.94154997,5.98286812,106857939,774130835.0,0.4663,1.4006
2020-01-03,6.0324499,6.05724079,5.95807723,5.99113175,78400377,568752793.0,0.3421,0.1381
2020-01-06,5.94154997,5.99113175,5.90849545,5.94154997,80004531,575958618.0,0.3491,-0.8276
2020-01-07,5.9498136,5.96634086,5.91675908,5.94154997,54720891,393166386.0,0.2388,0.0
2020-01-08,5.91675908,5.91675908,5.8671773,5.87544093,59132447,421756613.0,0.258,-1.1127
2020-01-09,5.90849545,5.94154997,5.89196819,5.90849545,51941856,371408216.0,0.2266,0.5626
2020-01-10,5.92502271,5.93328634,5.8671773,5.88370456,33913938,241718781.0,0.148,-0.4196
2020-01-13,5.88370456,5.89196819,5.83412278,5.85891367,52696594,373162370.0,0.2299,-0.4213
2020-01-14,5.8671773,5.98286812,5.85891367,5.91675908,89000157,638483828.0,0.3883,0.9873
2020-01-15,5.91675908,5.92502271,5.82585915,5.84238641,73339356,519032591.0,0.32,-1.257
2020-01-16,5.84238641,5.85891367,5.74322285,5.75975011,84288276,589563801.0,0.3678,-1.4144
2020-01-17,5.77627737,5.80106826,5.71843196,5.73495922,55867854,388808388.0,0.2296,-0.4304
2020-01-20,5.73495922,5.81759552,5.71016833,5.79280463,61752152,431068432.0,0.2538,1.0086
2020-01-21,5.75975011,5.76801374,5.68537744,5.7019047,67320265,465316764.0,0.2767,-1.5692
2020-01-22,5.68537744,5.7019047,5.6192684,5.67711381,58487518,400299628.0,0.2404,-0.4348
2020-01-23,5.65232292,5.65232292,5.56142299,5.58621388,79101364,536444087.0,0.3251,-1.6012
2020-02-03,5.02428704,5.07386882,5.02428704,5.02428704,127458247,775555904.0,0.5239,-10.0592
2020-02-04,4.92512348,5.02428704,4.88380533,4.98296889,112061095,674878035.0,0.4606,-0.8224
2020-02-05,4.97470526,5.11518697,4.958178,5.05734156,82152948,503063652.0,0.3377,1.4925
2020-02-06,5.10692334,5.13171423,5.02428704,5.1234506,72205133,444195549.0,0.2968,1.3072
2020-02-07,5.08213245,5.13171423,5.05734156,5.10692334,53690344,330068537.0,0.2207,-0.3226
2020-02-10,5.08213245,5.15650512,5.05734156,5.1234506,55118876,341083243.0,0.2266,0.3236
2020-02-11,5.13997786,5.19782327,5.11518697,5.13997786,52556133,328143794.0,0.216,0.3226
2020-02-12,5.13171423,5.2060869,5.10692334,5.18129601,58793294,366349744.0,0.2417,0.8039
2020-02-13,5.16476875,5.23087779,5.13171423,5.14824149,59087771,370378864.0,0.2429,-0.638
2020-02-14,5.11518697,5.17303238,5.10692334,5.17303238,41097512,256228357.0,0.1689,0.4815
2020-02-17,5.17303238,5.31351409,5.16476875,5.31351409,83924920,534716745.0,0.345,2.7156
2020-02-18,5.2887232,5.32177772,5.25566868,5.2887232,56447619,361020916.0,0.232,-0.4666
2020-02-19,5.29698683,5.35483224,5.26393231,5.29698683,69434682,445317297.0,0.2854,0.1562
2020-02-20,5.28045957,5.35483224,5.24740505,5.34656861,76161039,488839491.0,0.3131,0.936
2020-02-21,5.33004135,5.41267765,5.31351409,5.36309587,69828953,452873828.0,0.287,0.3091
2020-02-24,5.34656861,5.35483224,5.27219594,5.28045957,78701480,504538502.0,0.3235,-1.5408
2020-02-25,5.24740505,5.24740505,5.1234506,5.17303238,84919169,532408077.0,0.3491,-2.0344
2020-02-26,5.11518697,5.68537744,5.11518697,5.49531395,253633105,1673922994.0,1.0426,6.23
2020-02-27,5.47052306,5.52836847,5.38788676,5.41267765,98119122,644970684.0,0.4033,-1.5038
2020-02-28,5.2887232,5.51184121,5.26393231,5.2887232,109471062,710157875.0,0.45,-2.2901
2020-03-02,5.34656861,5.66058655,5.32177772,5.55315936,157934559,1059254075.0,0.6492,5.0
2020-03-03,5.60274114,5.62753203,5.46225943,5.49531395,132252467,882938606.0,0.5436,-1.0417
2020-03-04,5.48705032,5.54489573,5.42094128,5.47052306,79968541,529337173.0,0.3287,-0.4511
2020-03-05,5.5366321,5.56968662,5.50357758,5.54489573,98699246,661666871.0,0.4057,1.3595
2020-03-06,5.48705032,5.57795025,5.46225943,5.50357758,74730303,498273369.0,0.3072,-0.7452
2020-03-09,5.37962313,5.43746854,5.34656861,5.35483224,99294202,646355347.0,0.4082,-2.7027
2020-03-10,5.29698683,5.43746854,5.2887232,5.42094128,89331505,580704321.0,0.3672,1.2346
2020-03-11,5.42094128,5.68537744,5.38788676,5.50357758,137486359,927204353.0,0.5651,1.5244
2020-03-12,5.43746854,5.4539958,5.33830498,5.38788676,83711411,546209409.0,0.3441,-2.1021
2020-03-13,5.18129601,5.35483224,5.13171423,5.32177772,81319091,515931487.0,0.3343,-1.227
2020-03-16,5.37962313,5.48705032,5.25566868,5.28045957,88577331,576964915.0,0.3641,-0.7764
2020-03-17,5.25566868,5.37962313,5.15650512,5.27219594,65665471,417589748.0,0.2699,-0.1565
2020-03-18,5.2887232,5.33830498,5.18129601,5.18955964,55174173,351653381.0,0.2268,-1.5674
2020-03-19,5.19782327,5.24740505,5.04907793,5.11518697,70496386,437099197.0,0.2898,-1.4331
2020-03-20,5.13171423,5.23087779,5.1234506,5.23087779,57138702,357628462.0,0.2349,2.2617
2020-03-23,5.13171423,5.16476875,5.08213245,5.09865971,48360808,299162166.0,0.1988,-2.5276
2020-03-24,5.17303238,5.18955964,5.09865971,5.14824149,41137379,256549018.0,0.1691,0.9724
2020-03-25,5.23914142,5.30525046,5.18955964,5.25566868,54392869,345347428.0,0.2236,2.0867
2020-03-26,5.22261416,5.23087779,5.17303238,5.18955964,34577829,217509688.0,0.1421,-1.2579
2020-03-27,5.24740505,5.56142299,5.23914142,5.44573217,186754943,1229255490.0,0.7677,4.9363
2020-03-30,5.39615039,5.5366321,5.38788676,5.50357758,97552374,646357832.0,0.401,1.0622
