日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2020-01-02,105.04121993,105.63332427,103.74241041,104.30586454,4624017,506134415.0,0.7664,-0.5916
2020-01-03,104.5732665,104.64966706,103.35085754,104.095763,3210961,349794648.0,0.5322,-0.2014
2020-01-06,103.41770803,104.58281657,103.17895628,103.75196048,3780899,411097050.0,0.6267,-0.3303
2020-01-07,104.03846258,105.11762049,102.90200425,105.09852035,3931650,428715925.0,0.6517,1.2979
2020-01-08,104.73561769,106.1967784,104.2867644,104.9552693,3306038,364244805.0,0.548,-0.1363
2020-01-09,105.61422413,110.04545661,104.88841881,108.9662987,8350229,943967424.0,1.3841,3.8217
2020-01-10,109.1573001,110.09320696,108.2977938,109.49155255,4410273,504900283.0,0.731,0.482
2020-01-13,109.60615339,111.13416459,108.36464429,110.94316319,6034772,694164710.0,1.0003,1.3258
2020-01-14,111.15326473,111.61166809,109.31010122,109.49155255,3185393,367185567.0,0.528,-1.3084
2020-01-15,109.5393029,111.19146501,109.36740164,110.41790934,3212652,372003898.0,0.5325,0.8461
2020-01-16,110.8763127,113.50258195,110.02635647,113.50258195,4318125,506796555.0,0.7157,2.7936
2020-01-17,113.43573146,119.31857458,113.00597831,117.82876366,7876161,960074998.0,1.3055,3.8115
2020-01-20,117.465861,123.195903,116.510854,120.32133193,7334065,926490342.0,1.2156,2.1154
2020-01-21,124.5329128,127.47433436,123.4824051,123.7689072,9345303,1225794596.0,1.549,2.8653
2020-01-22,123.4824051,124.4374121,121.29543907,122.30774649,6058397,778121140.0,1.0042,-1.1806
2020-01-23,122.30774649,126.80582946,120.50278326,122.99535153,7634844,990684805.0,1.2655,0.5622
2020-02-03,117.465861,122.240896,110.69486137,114.03738587,12059903,1456631572.0,1.9989,-7.2832
2020-02-04,114.75364112,119.32812465,114.75364112,117.87651401,7060209,869403638.0,1.1702,3.3665
2020-02-05,118.20121639,129.66130039,118.20121639,129.66130039,9861829,1287480705.0,1.6346,9.9976
2020-02-06,131.3134625,131.53311411,126.03227379,128.24789003,10234061,1372821576.0,1.6963,-1.0901
2020-02-07,126.96818065,127.7799366,123.69250664,126.48112708,6827787,898481991.0,1.1317,-1.3776
2020-02-10,125.3924191,126.04182386,122.25044607,123.97900874,5958751,772058414.0,0.9877,-1.9783
2020-02-11,123.30095377,126.68167855,123.195903,125.71712148,5146931,672788675.0,0.8531,1.4019
2020-02-12,125.71712148,125.93677309,123.58745587,124.23686063,3811008,496028327.0,0.6317,-1.1775
2020-02-13,123.4824051,123.50150524,120.98028676,121.37183963,5598116,713970266.0,0.9279,-2.3061
2020-02-14,121.34318942,123.45375489,120.98983683,121.68699194,3286568,420079869.0,0.5447,0.2597
2020-02-17,121.7633925,123.6734065,120.56963375,122.39369712,5356590,682612656.0,0.8879,0.5808
2020-02-18,122.61334873,123.0049016,120.87523599,121.41003991,4235217,538795791.0,0.702,-0.8037
2020-02-19,121.42914005,121.75384243,119.36632493,119.36632493,5124152,643877129.0,0.8493,-1.6833
2020-02-20,119.8533785,121.23813865,119.5668764,120.70333473,4508864,568367261.0,0.7473,1.1201
2020-02-21,120.8083855,123.195903,119.54777626,122.41279726,5384553,685520314.0,0.8925,1.4162
2020-02-24,122.7183995,123.53015545,119.0893729,120.27358158,5963715,752056387.0,0.9885,-1.7475
2020-02-25,118.5163687,120.27358158,116.53950421,119.375875,5881099,730926630.0,0.9748,-0.7464
2020-02-26,117.0838582,117.9433645,115.555847,115.79459875,5744093,701220651.0,0.9521,-3.0
2020-02-27,116.04290057,118.90792157,115.99515022,117.5613617,4101295,503500912.0,0.6798,1.5258
2020-02-28,114.60084,118.30626716,114.04693594,114.6963407,5000099,604698836.0,0.8288,-2.437
2020-03-02,115.43169609,118.84107108,115.43169609,118.21076646,4321220,531399358.0,0.7162,3.0641
2020-03-03,120.0443799,123.73070692,120.00617962,122.19314565,7339004,942266802.0,1.2164,3.3689
2020-03-04,122.25999614,123.17680286,120.15898074,121.0948876,3582297,454609256.0,0.5938,-0.8988
2020-03-05,121.1903883,125.08681686,121.1903883,124.4374121,5816665,752905493.0,0.9641,2.7603
2020-03-06,123.72115685,126.60527799,123.08130216,123.92170832,4093124,534588276.0,0.6784,-0.4144
2020-03-09,122.20269572,122.5273981,118.38266772,118.38266772,5184682,651130082.0,0.8594,-4.4698
2020-03-10,118.420868,120.4263827,116.0333505,119.28992437,4713317,585724289.0,0.7812,0.7664
2020-03-11,120.32133193,120.8083855,118.43041807,118.65961975,2590102,323798925.0,0.4293,-0.5284
2020-03-12,117.465861,117.91471429,114.76319119,115.47944644,4468961,541251877.0,0.7407,-2.6801
2020-03-13,110.780812,114.89689217,109.94040584,113.88458475,5060379,594875486.0,0.8388,-1.3811
