日期,时间,开盘,最高,最低,收盘,成交量,成交额,datetime
2024-12-16,20241216093500000,6.13247661,6.2380435,6.13247661,6.2380435,48867500,315479136.0,2024-12-16 09:35:00
2024-12-16,20241216094000000,6.2380435,6.27643146,6.22844651,6.22844651,43965600,286170398.0,2024-12-16 09:40:00
2024-12-16,20241216094500000,6.22844651,6.2380435,6.19965554,6.22844651,15741800,102055560.0,2024-12-16 09:45:00
2024-12-16,20241216095000000,6.22844651,6.2380435,6.21884952,6.21884952,10748600,69738871.0,2024-12-16 09:50:00
2024-12-16,20241216095500000,6.21884952,6.25723748,6.21884952,6.24764049,19850000,129083207.0,2024-12-16 09:55:00
2024-12-16,20241216100000000,6.24764049,6.25723748,6.2380435,6.2380435,11171900,72714232.0,2024-12-16 10:00:00
2024-12-16,20241216100500000,6.2380435,6.25723748,6.2380435,6.24764049,10441900,68009341.0,2024-12-16 10:05:00
2024-12-16,20241216101000000,6.24764049,6.24764049,6.22844651,6.2380435,9011800,58604865.0,2024-12-16 10:10:00
2024-12-16,20241216101500000,6.2380435,6.24764049,6.22844651,6.24764049,9766000,63485450.0,2024-12-16 10:15:00
2024-12-16,20241216102000000,6.24764049,6.25723748,6.2380435,6.24764049,7018500,45708284.0,2024-12-16 10:20:00
2024-12-16,20241216102500000,6.24764049,6.25723748,6.2380435,6.2380435,6081100,39568898.0,2024-12-16 10:25:00
2024-12-16,20241216103000000,6.2380435,6.25723748,6.2380435,6.2380435,5707100,37146494.0,2024-12-16 10:30:00
2024-12-16,20241216103500000,6.2380435,6.25723748,6.2380435,6.24764049,7632700,49719938.0,2024-12-16 10:35:00
2024-12-16,20241216104000000,6.24764049,6.25723748,6.2380435,6.2380435,4135600,26931450.0,2024-12-16 10:40:00
2024-12-16,20241216104500000,6.2380435,6.25723748,6.2380435,6.24764049,7284400,47438723.0,2024-12-16 10:45:00
2024-12-16,20241216105000000,6.24764049,6.26683447,6.2380435,6.25723748,13173100,85931137.0,2024-12-16 10:50:00
2024-12-16,20241216105500000,6.25723748,6.27643146,6.25723748,6.27643146,10426400,68099960.0,2024-12-16 10:55:00
2024-12-16,20241216110000000,6.27643146,6.28602845,6.26683447,6.27643146,21639600,141584392.0,2024-12-16 11:00:00
2024-12-16,20241216110500000,6.27643146,6.29562544,6.27643146,6.28602845,19173100,125569536.0,2024-12-16 11:05:00
2024-12-16,20241216111000000,6.28602845,6.28602845,6.26683447,6.28602845,7477100,48920704.0,2024-12-16 11:10:00
2024-12-16,20241216111500000,6.28602845,6.29562544,6.27643146,6.29562544,10527100,68986752.0,2024-12-16 11:15:00
2024-12-16,20241216112000000,6.29562544,6.29562544,6.27643146,6.28602845,6435300,42178560.0,2024-12-16 11:20:00
2024-12-16,20241216112500000,6.28602845,6.29562544,6.27643146,6.28602845,6110400,40037248.0,2024-12-16 11:25:00
2024-12-16,20241216113000000,6.28602845,6.29562544,6.27643146,6.28602845,4246500,27824128.0,2024-12-16 11:30:00
2024-12-16,20241216130500000,6.28602845,6.29562544,6.27643146,6.29562544,7923000,51908992.0,2024-12-16 13:05:00
2024-12-16,20241216131000000,6.29562544,6.31481942,6.28602845,6.31481942,23797700,156343680.0,2024-12-16 13:10:00
2024-12-16,20241216131500000,6.31481942,6.31481942,6.28602845,6.28602845,6317000,41465088.0,2024-12-16 13:15:00
